id,ven_short,venue,venue_ar,description,description_ar,website
63,Mahmoud Mokhtar,Mahmoud Mokhtar Museum,متحف محمود مختار,,,
64,Makan,Egyptian Center for Culture and Arts - Makan,المركز المصري للثقافة والفنون - مكان,,,
65,Marriot,Marriot Hotel Zamalek,فندق ماريوت الزمالك,,,
66,Mary Cross,Mary Cross Lecture Hall - AUC,قاعة ماري كروس - الجامعة الأمريكية بالقاهرة,,,
67,Mashrabia A,Mashrabia Annex,ملحق مشربية,,,
68,Mashrabia G,Mashrabia Gallery,جاليري مشربية,,,
69,MASQ,Maq‘ad of Sultan Qaitbey (MASQ),مقعد السلطان قايتباي,,,
70,MASS,MASS Alexandria,ماس الإسكندرية,,,
71,Medrar GC,Medrar for Contemporary Art - Garden City,مدرار للفن المعاصر بجاردن سيتي,,,
72,Medrar SZ,Medrar for Contemporary Art - Sayeda Zeinab,مدرار للفن المعاصر بالسيدة زينب,,,
73,Megawra,Megawra Built Environment Collective,جمعية الفكر العمراني مجاورة,,,
74,Mleiha,Mleiha desert,صحراء المليحة,,,
75,Nile Faluka,Nile Faluka,فلوكة نيلية,,,
76,NSA,Nile Sunset Annex,ملحق غروب على النيل,,,
77,Old French Consulate,Old French Consulate,مبنى القنصلية الفرنسية القديم,,,
78,Palace of Arts,The Palace of Arts,قصر الفنون,,,
79,Passage 35,Passage 35,ممر ۳٥,,,
80,Philips Passageway,Philips Passageway,ممر فيليبس,,,
81,Photographic Gallery,Photographic Gallery - AUC,جاليري الفوتوغرافيا بالجامعة الأمريكية بالقاهرة,,,
82,Photopia,Photopia,فوتوبيا,,,
83,Plastic Arts Syndicate,Syndicate of Plastic Arts - Cairo,نقابة الفنانين التشكيليين - القاهرة,,,
84,Pro Helvetia,The Swiss Arts Council Pro Helvetia,المؤسسة الثقافية السويسرية بروهلفيتسيا,,,
85,Qasr El Nile Theater,Qasr El Nile Theater,مسرح قصر النيل,,,
86,Radio Cinema,Radio Cinema,سينما راديو,,,
87,Radio Liban,Radio Liban,إذاعة لبنان,,,
88,Ranet Kholkhal,Ranet Kholkhal,رنة خلخال,,,
89,Rawabet,Townhouse Rawabet Theater,مسرح روابط,,,
90,Room,Room art space & cafe,رووم,,,
91,Saad Zaghloul,Saad Zaghloul Cultural Center,مركز سعد زغلول الثقافي,,,
92,SAF,Sharjah Art Foundation,مؤسسة الشارقة للفنون,,,
93,SAF Spaces,SAF Art Spaces,مساحات مؤسسة الشارقة للفنون,,,
94,Sednaoui,Sednaoui,صيدناوي,,,
95,SEE,Studio Emad Eddin Foundation,ستوديو عماد الدين,,,
96,Shahrazad,Shahrazad Nightclub,كباريه شهرزاد,,,
97,Sharjah Art Museum,Sharjah Art Museum,متحف الشارقة للفنون,,,
98,Sharjah Gallery,Sharjah Art Gallery - AUC,جاليري الشارقة,,,
99,Sharjah Theater I,Sharjah Institute for Theatrical Arts,معهد الشارقة للفنون المسرحية,,,
100,SOMA,SOMA,سوما,,,
101,Station,Station,ستيشن,,,
102,Sursock,Sursock Museum,متحف سرسق,,,
103,Swiss Embassy,Embassy of Switzerland in Egypt,سفارة سويسرا في مصر,,,
104,Tashkeel,Tashkeel,تشكيل,,,
105,Townhouse,Townhouse Gallery,تاون هاوس جاليري,,,
106,Viennoise,Viennoise Hotel,فندق فينواز,,,
107,Windsor,Windsor Hotel,فندق وندسور,,,
108,Yunus Emre,Yunus Emre Institute,معهد يونس إمره,,,
109,Zawya,Zawya Cinema,سينما زاوية,,,
110,Zico,Zico House,بيت زيكو,,,
111,Zigzag,Zigzag,زيج زاج,,,
112,AUC,The American University in Cairo,"  Founded in 1919, AUC is a leading English-language, American-accredited institution of higher education and center of intellectual, social and cultural life of the Arab world. Its community of students, parents, faculty and staff, trustees, alumni and other generous sponsors represent more than 60 countries. The University stands as a crossroads for the world’s cultures and a vibrant forum for reasoned argument, spirited debate and understanding across the diversity of languages, facilities and human experiences.  The University offers 36 undergraduate, 44 master’s and two PhD programs rooted in a liberal arts education that encourages students to think critically and find creative solutions to conflicts and challenges facing both the region and the world. It also offers a globally recognized professional community-based education in English to meet the needs of the dynamic Egyptian and broader regional economies.  The University’s educational assets include the largest English-language academic library collection in Egypt, three modern theaters and 15 cross-disciplinary research centers. The University’s modern, 260-acre New Cairo campus constitutes a visionary investment in the future of Cairo, Egypt and the region — a state-of-the-art facility for advanced research, innovative teaching, lifelong learning and civic engagement.  Chartered and accredited in the United States and Egypt, The American University in Cairo is an independent, not-for-profit, equal-opportunity institution.",تأسست الجامعة الأمريكية بالقاهرة عام 1919، وهي مؤسسة تعليمية أمريكية رائدة توفر تعليماً متميزاً باللغة الإنجليزية، وهي مركز الحياة الثقافية والاجتماعية والفكرية في العالم العربي. تعتبر الجامعة ملتقى لثقافات العالم ومنتدى للنقاش ومد أواصر التفاهم بين مختلف الثقافات وذلك لتنوع ثقافات الطلاب، والآباء، وأعضاء هيئة التدريس، والعاملين، وأعضاء مجلس الأوصياء، والخريجين، وداعميها الكرام والذين ينتمون لأكثر من 60 دولة حول العالم.   تقدم الجامعة 36 برنامجاً لطلاب البكالوريوس و 44 برنامجاً لطلاب الدراسات العليا وبرنامجين للدكتوراة، حيث تستند المناهج الدراسية على التعليم المعتمد على النهج الليبرالي الذي يشجع الطلاب على التفكير بشكل نقدي وتحليلي لإيجاد حلول مبتكرة للمشكلات والتحديات التي تواجه المنطقة والعالم. كما تقدم الجامعة تعليماً مجتمعياً وعالمياً باللغة الإنجليزية لتلبية احتياجات الاقتصادات المصرية والإقليمية الديناميكية.  تتضمن المرافق التعليمية بالجامعة مكتبة الجامعة وهي أضخم المكتبات في مصر التي تضم كتباً وإصدارات باللغة الإنجليزية، وثلاثة مسارح حديثة، و16 مركز أبحاث في مختلف التخصصات والمجالات. يعتبر الحرم الجامعي الحديث بالقاهرة الجديدة، والذي يمتد على مساحة 260 فدان، استثماراً ضخماً في مستقبل القاهرة ومصر والمنطقة لما يضم من مرافق حديثة في مجالات الأبحاث، والتدريس، والتعلم مدى الحياة، والتواصل المجتمعي.  تعد الجامعة الأمريكية بالقاهرة مؤسسة تعليمية مستقلة، غير هادفة للربح، وتمنح فرصاً متساوية لجميع أعضاء مجتمعها، وهي معترف بها في مصر والولايات المتحدة الأمريكية.,http://www.aucegypt.edu/
113,Embassy of Ireland,"Embassy of Ireland, Egypt",,,
114,Breaking Walls ,Breaking Walls festival,"A 10 day site specific festival in Cairo including dance, theater, visual arts and music represented by professional and emerging artists.",,https://www.facebook.com/breakingwallsfestival/
115,Embassy of Canada,Embassy of Canada to Egypt,"The Canadian-Egyptian bilateral relationship has long been characterized by a mutually respectful and beneficial partnership, and is founded on a common interest in peace, stability and security in the Middle East, socio-economic development cooperation, cross-cultural understanding and growing trade relations.",,
116,Mophradat,Mophradat,"Mophradat is an international nonprofit contemporary arts association that creates opportunities for thinking, producing, and sharing among contemporary artists from the Arab World and their peers everywhere. Mophradat sees its activities as tools – artistic, discursive, logistical, and financial — for artists and cultural thinkers to use toward inventing new arts practices, arts organizations, and art publics. Mophradat believes the content — ideas, artworks, and relationships — generated through its activities contributes to diversifying the artistic and intellectual ecology; making it more vital and compelling, and able to play an emancipatory role in the Arab World and elsewhere.",  «مفردات» هي جمعية دولية غير ربحية تُعنى بالفنون المعاصرة وتسعى إلى خلق مجالات للتفكير والإنتاج والمشاركة بين الفنانين المعاصرين العرب ونُظرائهم من مختلف أنحاء العالم. ترى «مفردات» أنشطتها كوسائط وأدوات – فنية، حوارية، لوجستية ومالية – في أيدي الفنانين والمفكرين الثقافيين بهدف استعمالها لخلق وابتكار ممارسات فنية جديدة، ولتأسيس جمعيات فنية وتكوين جمهور للفن. «مفردات» تؤمن بأن المحتوى الذي تولده أنشطتها، يساهم في تنويع البيئة الفنية والفكرية وبالتالي جعلها أكثر حيوية وجوهرية، وقادرة على أن تلعب دوراً تحررياً في العالم العربي وخارجه.,http://mophradat.org/ar/
